HEROP_ID,GEOID,TotPop,TotUnits,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age45_54,Age55_59,Age60_64,AgeOv65,Age15_24P,Und45P,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,NoHsP,ChildrenP,PovP,UnempP,VacantP
050US47035,47035,28676,10790,16413,1981,4888,2677,2153,12350,2834,1506,1441,3676,16.84,67.02,12.82,99.73,0.02,0.59,0.08,0.08,0.01,0.08,55.58,29.94,21.93,12.16,8.37
050US47037,47037,477811,187400,305169,31591,63989,43864,52260,235023,49386,24433,20424,52965,20.12,69.19,11.08,76.69,22.26,0.78,0.11,0.47,0.02,0.45,33.92,25.05,12.29,4.99,5.16
050US47039,47039,10857,4814,6182,733,1614,890,760,4374,1121,646,613,1756,15.2,61.9,16.17,95.33,4.43,0.83,0.11,0.06,0.02,0.05,57.5,26.89,18.96,9.08,15.23
050US47041,47041,13589,5930,7797,974,2064,1181,953,5694,1388,753,712,2004,15.7,64.26,14.75,97.74,1.97,0.59,0.07,0.1,0,0.12,59.76,27.88,22.89,8.76,16.42
050US47043,47043,30037,11106,17182,2121,5096,2831,2300,13128,3079,1441,1356,3816,17.08,67.73,12.7,94.24,5.57,0.63,0.06,0.06,0,0.07,51.96,30.09,12.06,9.65,5.74
050US47045,47045,34663,13302,19638,2495,5665,3133,2764,15008,3261,1793,1577,4864,17.01,66.84,14.03,87.94,11.83,0.62,0.11,0.04,0.01,0.07,57.04,29.31,16.32,7.22,4.56
050US47047,47047,25305,8149,13295,2252,4676,2843,2065,10753,2256,1088,1053,3227,19.4,69.87,12.75,49.26,50.6,1.49,0.06,0.04,0,0.05,58.02,34.71,30.32,8.52,8.81
050US47049,47049,14826,5554,8334,1074,2726,1354,1088,6432,1376,717,679,1822,16.47,69.01,12.29,99.79,0.01,0.71,0.07,0.11,0,0.01,66.39,31.5,33.49,10.03,9.49
050US47051,47051,31983,11563,19013,2260,5122,3179,2694,14199,3435,1640,1479,3848,18.36,67.48,12.03,92.51,7.13,0.71,0.07,0.15,0.01,0.13,48.77,28.52,16.47,9.26,6.67
050US47053,47053,49467,19519,27703,3249,7603,4392,3564,19966,5139,2729,2683,8098,16.08,62.3,16.37,80.68,19.1,0.79,0.05,0.08,0,0.08,53.43,27.63,18.76,7.83,6.75
050US47055,47055,24625,9543,14067,1657,3791,2243,1862,10271,2402,1425,1347,3732,16.67,63.83,15.16,85.71,14.02,0.87,0.02,0.16,0.01,0.08,51.58,27.72,16.74,7.35,7.52
050US47057,47057,16751,6522,9795,1223,2849,1502,1332,7492,1707,763,772,1945,16.92,69.03,11.61,99.07,0.81,0.73,0.05,0.01,0,0.06,65.6,29.91,22.91,11.34,12.7
050US47059,47059,54422,21077,33073,3487,8694,4750,4149,24343,6239,2815,2603,6241,16.35,67.11,11.47,97.41,2.27,0.57,0.1,0.1,0,0.13,52.5,27.76,17.96,7.92,9.11
050US47061,47061,13787,4911,7684,1246,2553,1236,1120,5984,1242,672,553,1537,17.09,70.96,11.15,99.89,0.01,0.83,0.04,0.04,0,0.02,67.09,33.12,25.51,11.32,8.17
050US47063,47063,49300,18398,30232,3413,8392,4461,3968,23132,5474,2398,2001,4490,17.1,70.87,9.11,94.82,4.75,0.67,0.14,0.14,0.02,0.13,49.03,29.57,15.6,9.26,6.2
050US47065,47065,287740,110010,176589,20093,43775,25882,26697,133508,30732,14898,12484,32250,18.27,68.6,11.21,79.92,19.41,0.74,0.11,0.32,0.01,0.22,36.26,27.42,13.51,6.82,6.08
050US47067,47067,6887,2683,3968,523,1127,608,562,2834,751,405,349,898,16.99,65.11,13.04,99.22,0.55,1.13,0.04,0.06,0,0.13,71.43,29.35,43.05,10.96,12.37
050US47069,47069,23873,8369,12913,1984,4106,2302,1834,9849,2261,1195,1117,3361,17.33,66.77,14.08,63.12,36.55,1.62,0.07,0.2,0.01,0.05,61.24,31.83,27.33,11.62,8.91
