origin,count within 30,minutes
8037,6,0.0
8038,1,23.82
8039,3,26.95
8041,7,13.64
8042,3,17.88
8043,22,10.72
8045,29,5.34
8046,18,12.66
8048,12,6.45
8049,26,3.39
8050,2,27.62
8051,21,15.44
8052,32,7.23
8053,25,0.0
8054,23,14.63
8055,10,0.0
8056,19,19.38
8057,33,11.71
8059,33,7.51
8060,16,0.0
8061,22,19.11
8062,6,23.38
8063,26,13.24
8064,3,18.95
8065,33,9.62
8066,24,16.14
8067,6,14.8
8068,6,13.98
8069,9,10.18
8070,9,0.0
8071,18,12.7
8072,4,12.35
8073,25,8.34
8074,11,17.67
8075,30,14.84
8077,34,8.24
8078,30,6.58
8079,4,10.66
8080,20,8.59
8081,6,11.51
8083,24,0.0
8084,21,3.71
8085,4,17.73
8086,23,16.16
8088,7,14.89
8089,5,13.02
8090,21,14.75
8091,13,11.59
8093,30,9.27
8094,4,17.35
8095,7,10.99
8096,24,11.07
8097,23,15.83
8098,6,19.98
8102,33,6.34
8103,32,4.37
8104,32,0.0
8105,34,5.92
8106,31,7.14
8107,34,4.61
8108,32,5.4
8109,34,0.0
8110,34,3.42
8201,5,6.2
8202,1,14.03
8203,3,15.19
8204,1,19.34
8205,5,16.27
8210,1,0.0
8212,1,26.84
8215,6,16.78
8217,4,11.8
8221,5,9.51
8223,4,19.72
8224,3,24.67
8225,5,5.79
8226,4,19.03
8230,2,19.11
8232,5,0.0
