origin,count within 30,minutes
6801,17,0.0
6804,17,12.01
6807,38,8.09
6810,17,0.0
6811,17,0.0
6812,17,7.41
6820,51,7.46
6824,63,8.88
6825,55,0.0
6830,53,0.0
6831,34,10.57
6840,56,8.72
6850,71,7.15
6851,65,8.17
6853,64,8.78
6854,70,0.0
6855,74,6.18
6856,71,4.6
6870,39,6.41
6877,16,18.98
6878,39,7.17
6880,69,11.99
6883,31,22.82
6890,67,10.99
6896,21,14.53
6897,67,16.23
6901,37,0.42
6902,37,0.0
6903,33,0.0
6905,37,0.0
6906,36,0.0
6907,36,0.0
7001,58,12.0
7002,248,7.26
7003,202,7.11
7004,58,14.2
7005,17,15.71
7006,40,12.12
7008,65,15.64
7009,111,9.23
7010,419,6.32
7011,336,3.0
7012,342,5.01
7013,361,4.7
7014,387,3.97
7016,69,11.76
7017,165,0.0
7018,179,3.18
7020,409,7.2
7021,40,10.54
7022,408,4.84
7023,45,8.8
7024,426,3.8
7026,335,0.0
7027,62,13.42
7028,164,6.3
7029,413,0.0
7030,508,5.77
7031,398,7.3
7032,391,3.51
7033,100,9.72
7034,33,16.78
7035,43,14.96
7036,118,10.51
7039,40,8.85
7040,81,5.19
7041,85,6.56
7042,177,6.77
7043,218,9.89
7044,81,7.58
7045,19,20.87
7046,12,11.78
7047,453,0.0
7050,132,0.0
7052,100,0.0
