"GEOID","year","totPopE","whiteP","blackP","amIndP","asianP","pacIsP","otherP","hispP","noHSP","a15_24P","und45P","ovr65P","disbP"
"01243",2018,257,99.22,0,0,0.78,0,0,0,0,5.06,18.68,24.9,3.9
"01244",2018,74,100,0,0,0,0,0,0,14.06,0,48.65,36.49,27
"01245",2018,809,97.28,0.49,0,0.37,0,1.85,0.74,7.95,8.53,35.23,36.71,12
"01247",2018,15573,91.56,1.68,0.19,0.89,0.13,5.55,3.88,15.05,17.5,51.2,19.75,19.5
"01253",2018,672,98.07,0,0.6,0,0,1.34,3.27,4.98,4.32,27.23,38.1,14.1
"01254",2018,1014,94.48,0.99,0.3,2.56,0,1.68,0.3,4.16,5.33,31.66,33.73,11.7
"01255",2018,972,95.68,0.51,0,1.23,0,2.57,1.75,8.45,12.65,45.99,22.53,10.2
"01256",2018,719,90.13,7.93,0.28,0,0,1.67,2.36,15.82,12.52,42,20.72,13.1
"01257",2018,2003,100,0,0,0,0,0,0.1,3.03,13.38,34.4,33.95,9.6
"01258",2018,489,89.57,0,9,0.41,0.2,0.82,9.82,4.38,7.77,32.72,30.06,17.4
"01259",2018,528,98.86,1.14,0,0,0,0,0,10.66,4.73,19.32,37.12,15.3
"01260",2018,481,100,0,0,0,0,0,0,28.03,18.92,57.17,9.15,14.1
"01262",2018,1066,86.4,4.78,0,3.75,0,5.07,3.56,9.58,8.16,30.96,36.21,28
"01264",2018,196,94.9,1.02,0,0,0,4.08,8.16,1.2,6.12,37.76,36.22,15.3
"01266",2018,1369,88.17,4.09,1.61,2.26,0.22,3.65,2.7,3.32,6.72,34.4,29.66,15
"01267",2018,7955,81.97,4.42,0.79,6.12,0,6.69,7.04,6.64,36.2,59.41,20.25,10.7
"01270",2018,770,95.84,0,0,1.43,0,2.73,1.04,1.53,10.91,39.48,20.78,7.3
"01301",2018,17713,91.77,2.55,0.04,1,0,4.63,7.38,7.5,10.26,52.25,20.32,17.3
"01330",2018,1367,95.76,0.15,0.15,0.44,0,3.51,2.56,2.41,10.39,38.7,22.97,12.4
"01331",2018,13383,93.22,1.03,0.06,0.91,0,4.78,4.18,9.94,11.58,51.02,16.54,17.3
"01337",2018,2498,99.08,0.12,0,0.4,0,0.4,0.04,3.15,7.89,42.87,21.58,17.6
"01338",2018,127,89.76,0,0,0,0,10.24,0,3.96,7.09,40.16,17.32,20.5
"01339",2018,1428,95.45,0.42,0,2.24,0,1.89,1.26,6.37,9.52,42.51,28.99,18.6
"01340",2018,1808,96.9,0.72,0,0.28,0,2.1,0.55,8.78,11.01,42.75,22.57,9.6
"01341",2018,1836,98.75,0,0,0.22,0,1.03,2.51,1.32,10.62,41.39,22.66,10.2
"01342",2018,1439,87.91,8.69,0,0.42,0,2.99,5.42,3.87,20.29,53.65,19.46,8
"01343",2018,45,100,0,0,0,0,0,0,23.68,0,28.89,33.33,8.9
"01344",2018,1459,94.93,2.33,1.03,0.34,0,1.37,2.81,7.92,9.73,50.31,18.37,13.4
"01346",2018,427,98.13,0,0.23,0.7,0,0.94,1.17,5.92,15.69,44.5,27.17,14.4
"01347",2018,175,100,0,0,0,0,0,0,6.31,32.57,69.71,13.14,42.9
"01349",2018,1292,99.38,0.39,0,0,0,0.23,0,8.25,14.24,65.87,15.02,14.9
"01350",2018,91,100,0,0,0,0,0,0,1.52,8.79,52.75,14.29,31.9
"01351",2018,2099,97.28,1.29,0.76,0,0,0.67,1.86,4.15,7.81,43.88,20.58,12.2
"01354",2018,1608,91.48,4.04,0,2.3,0,2.18,0.5,2.17,11.5,49.13,17.79,10
"01355",2018,949,93.57,0,0.84,0.42,0,5.16,0.42,3.89,10.43,39.83,22.55,13.8
"01360",2018,2997,95.36,0.37,0,0.17,0,4.1,3.3,6.22,10.24,47.75,18.52,21.1
"01364",2018,7785,96.87,0.49,0.37,0.63,0,1.64,1.18,10.79,9.96,48.5,17.14,18.7
"01366",2018,1269,97.16,0.32,0,0.47,0,2.05,2.76,3.67,15.13,40.27,24.59,12.3
