"GEOID","year","totPopE","whiteP","blackP","amIndP","asianP","pacIsP","otherP","hispP","noHSP","a15_24P","und45P","ovr65P","disbP"
"19047",2018,17132,85.8,2.56,0.54,1.97,0.16,8.97,27.77,22.22,14.06,57.76,16.89,14.3
"19049",2018,84002,91.12,1.62,0.1,4.28,0.08,2.79,6.1,4.68,10.88,65.37,11.5,7.2
"19051",2018,8885,97.97,0.06,0,0.7,0,1.27,1.4,16.78,12.71,58.31,17.49,11.7
"19053",2018,8044,94.87,1.58,0.37,0.72,0.47,1.99,2.82,11.31,21.3,57.73,19.09,15.6
"19055",2018,17258,97.72,0.28,0.32,0.38,0,1.3,1.47,8.7,11.79,51.77,18.81,11.4
"19057",2018,39600,90.3,5.94,0.15,0.8,0,2.82,3.01,8.44,11.65,53.18,19.71,15.3
"19059",2018,17056,97.41,0.65,0.25,0.82,0,0.87,1.95,4.22,10.21,46.22,24.94,14.6
"19061",2018,96802,92.94,3.44,0.19,1.21,0.41,1.82,2.39,7.61,14.21,56.76,16.88,11.1
"19063",2018,9551,95.71,1.81,0.29,0.38,0,1.81,9.56,9.51,15.13,52.43,20.11,14.7
"19065",2018,19929,95.42,2.03,0.05,0.66,0,1.84,2.32,7.92,13.29,51.17,21.06,14.6
"19067",2018,15858,94.38,1.73,0.57,1.41,0.17,1.75,2.94,10.73,12.52,51.37,21.18,15.8
"19069",2018,10245,92.13,1.39,0.1,0,0,6.38,12.41,9.42,10.49,52.17,20.62,10.1
"19071",2018,6968,95.45,0.47,0.69,0,0,3.39,2.64,7.52,10.28,49.35,22,13.6
"19073",2018,9003,96.13,0.37,0.13,0.66,0,2.71,2.8,6.35,11.34,50.41,21.54,15.7
"19075",2018,12341,98.3,0.56,0.11,0.36,0,0.67,1.26,5.8,10.72,52.73,20.23,10.3
"19077",2018,10674,97.17,0.03,0.34,0.25,0,2.21,2.68,7.16,11.17,49.26,21.86,13.6
"19079",2018,15110,93.71,1.36,0.04,3.04,0.16,1.69,5.96,6.55,10.85,52.7,19.74,12.1
"19081",2018,10888,96.79,0.64,0.24,0.37,0.07,1.88,4.16,6.6,10.99,50.24,21.5,12.6
"19083",2018,17127,95.38,1.34,1,0.43,0.02,1.83,4.29,8.35,12.69,50.58,21.11,11.5
"19085",2018,14143,97.37,0.22,0.45,0.28,0.11,1.57,1.65,8.21,11.36,51.7,19.15,12.9
"19087",2018,19926,92.09,2.25,0.26,2.66,0.05,2.69,4.76,7.07,13.39,55.34,18.13,13.9
"19089",2018,9264,98.21,0.31,0,0.04,0,1.44,1.58,9.71,10.6,52.44,20.32,10.8
"19091",2018,9566,97.38,0.26,0.43,0.42,0,1.52,4.25,7.78,10.52,52.25,20.49,13.4
"19093",2018,6916,97.22,0.09,0.69,0.52,0,1.47,2.2,6.54,10.84,50.51,21.86,14.3
"19095",2018,16207,97.34,0.93,0.07,0.25,0,1.42,2.65,6.21,11.75,52.75,18.11,12.3
"19097",2018,19395,96.81,0.51,0.04,0.41,0.68,1.56,1.42,7.67,11.56,50.32,20.24,12.1
"19099",2018,36891,95.48,1.91,0.18,0.48,0.15,1.79,2.15,6.25,11,53.38,18.75,14
"19101",2018,18077,83.34,1.78,0.01,6.12,0,8.75,2.93,7.32,14.02,52.53,20.21,11.1
"19103",2018,147001,82.1,6.77,0.2,6.29,0.07,4.58,5.57,4.75,24.1,68.95,10.8,7.1
"19105",2018,20568,95.43,2.45,0.03,1.1,0,0.99,1.9,8.29,11.22,52.31,19.58,11.7
"19107",2018,10200,97.77,0.38,0.12,0.26,0.05,1.41,1.63,7.46,11.24,50.89,21.16,14.6
"19109",2018,15075,96.99,1.11,0.17,0.54,0,1.19,2.4,5.62,11.58,49.42,22.71,15.4
"19111",2018,34541,93.69,2.56,0.24,0.6,0,2.92,3.57,7.83,11.49,51.75,19.55,16.4
"19113",2018,222121,88.42,5.34,0.17,2.34,0.13,3.61,3.19,5.33,13.39,59.32,15.17,10.1
"19115",2018,11223,91.19,1.11,0.51,3.76,0,3.43,15.75,18.08,12.96,54.88,17.44,11.5
"19117",2018,8597,99.13,0.16,0.01,0,0,0.7,1.78,7.23,12,50.56,21.07,16.4
"19119",2018,11769,96.89,0.06,0.67,0.24,0.28,1.86,2.58,9.45,11.56,58.15,17.6,10.7
"19121",2018,15890,97.28,0.23,0.08,1.26,0.12,1.03,2.08,5.15,11.38,55.08,16.41,12.6
