ID,address,city,state,zip,Longitude,Latitude,Match Score
149,Compassionate Health Care Group LLC 361 Main Street,Wareham,MA,2301,-70.71911399999993,41.761385000000075,98.77
150,2431 West Sandlake Road ,Orlando,FL,32809,-81.41580512005523,28.45062521337908,100
151,380 East Fort Lowell ,Tucson,AZ,85653,-110.96587154593593,32.26477073610977,97.07
152,Alcohol & Substance Abuse Treatment Center 1084 New York Ave,Altadena,CA,91001,-118.15272999999996,34.189130000000034,85
153,Ampla Health Oroville Medical & Dental 2800 Lincolin Boulevard,Oroville,CA,95966,-121.55172056212307,39.50232967640239,92.76
154,1380 Highway 192 E ,London,KY,40741,-84.06140378865456,37.114545738843454,100
155,1544 Kuser Road Suite C9,Trenton,NJ,8081,-74.69686312836467,40.20821142808686,98.79
156,735 US HIGHWAY 24 ,LEADVILLE,CO,80463,-106.30194391417402,39.24023288732391,98.33
157,777 37th Street Suite B-107,Vero Beach,FL,32967,-80.38805500622281,27.660222895285013,99.51
158,Magnolia Medical Group 2925 E Colfax Avenue,Denver,CO,80206,-104.95313098884799,39.740197486123215,96
159,Witham Health Services 2705 N. Lebanon St. STE 265,Lebanon,IN,46052-8621,-86.47550255044901,40.078401471678205,96.55
160,7164 Route 209 ,Stroudsburg,PA,18034,-75.24976613710156,40.97369269047563,98.33
161,ACBC 30 West State St,Binghamton,NY,13901,-75.90516910697566,42.10938835149124,98.82
162,3471 Ohio River Road ,Point Pleasant,WV,25550,-82.11941011348723,38.9061643830064,100
163,1205 South Whitechapel Boulevard Suite 215,Southlake,TX,76092,-97.1560138357597,32.926221291034544,99
164,80 State Hwh 310 ,Canton,NY,13617,-75.16808105407654,44.60440566512026,89.7
165,Fairmount Primary Care Center at Girard Medical Center 801 W Girard Aveue,Philadelphia,PA,19147,-75.15363499999995,39.936270000000036,85
166,1631 Rt 88 ,Brick,NJ,8724,-74.13544751430656,40.076119857875646,100
167,Community Health Centers of Lane County - Riverstone Clinic 2073 Olympic street,Springfield,OR,97403,-122.99463803088042,44.059652534341204,93.53
168,One Community Health 1500 21st Street,Sacramento,CA,95811,-121.48114001500359,38.57051001832189,100
169,"Harm Reduction Treatment Center 2500 Quantum Lakes Drive, Suite 105",Boynton Beach,FL,33426,-80.08144197058,26.545577001080645,96.32
170,5760 Patriot Boulevard ,Austintown,OH,44515,-80.77269425651649,41.12091859854791,99.9
171,Groups - Recover Together 706 Green Boulevard,Aurora,IN,47001,-84.89415799999995,39.07029600000004,99.6
172,4540 US Route 60 ,Huntington,WV,25705,-82.35918501501865,38.413045996992395,100
173,1901 E Bennett St Suite B ,Springfield,MO,65804,-93.25994011632163,37.18889317810024,100
174,"My Turning Point, LLC 235 Stokely Road",Cynthiana,KY,41031,-84.31038269042523,38.3847274437477,96.38
175,Savida Health 41 Acme Rd,Brewer,ME,4473,-68.75811062229712,44.78534010927445,95
176,"HOPE Community Services, Inc. 6100 S. Walker Avenue",Oklahoma City,OK,73139,-97.52107999999998,35.40507500000007,99.5
177,2100 HWY 360 Suite 1904,Grand Prairie,TX,75050,-97.05832845394411,32.78698161839829,99.54
178,5111 E. Cooper Road NE ,McConnelsville,OH,43756,-81.72549050381666,39.600307461619494,100
179,2570 Sagewood Avenue Apt# 513,Grand Rapids,MI,49525,-85.63371999999998,43.02813000000003,85
180,Terry Reilly Health Services 207 1st Street S.,Nampa,ID,83651,-116.57032299999997,43.58550900000006,100
181,8006 Tudor Place ,Tampa,FL,33610,-82.3668159834886,27.983427447259192,100
182,132 Village Center ,Harlan,KY,40831,-83.31600481915447,36.816147533056366,98.82
183,6865 echo cove rd ,denver,NC,28037,-81.01882046136026,35.56103156672833,100
184,11604 Bedford Road ,Cumberland,MD,21502,-78.73403818693888,39.68288455259932,99.55
185,2628 kull road ,Lancaster,OH,43130,-82.65017896082726,39.74991747632157,100
186,"Charleston Treatment Center, LLC dba Charleston Comprehensive Treatment Center 2157 Greenbrier Street",Charleston,WV,25311,0,0,0
187,841 S Highway 25 W ,Williamsburg,KY,40701,-84.15383857156263,36.7354559326805,98.48
188,420 Silver Bridge Plaza ,Gallipolis,OH,45631,-82.15554868902804,38.83636743707416,100
189,SAMARITAN FAMILY MEDICAL SERVICES 5401 N KNOXVILLE AVE STE 215,PEORIA,IL,61614,-89.59331659704362,40.75220794593588,95.45
190,5760 Patriot Boulevard ,Austintown,OH,44514,-80.77269425651649,41.12091859854791,98.55
191,64 Kirk Plaza ,Inez,KY,41224,-82.54346517369736,37.843384194851616,100
192,Front Range Clinic 1308 Vivian St,Longmont,CO,80501,-105.11907693155906,40.181486987846625,96.28
193,BHG Paducah Treatment Center 2705 Olivet Church Road,Paducah,KY,42001,-88.7008997652219,37.07014382214761,95.76
194,5760 Patriot Boulevard ,Youngstown,OH,44515,-80.77269425651649,41.12091859854791,100
195,3821 Starrs Centre Drive ,Canfield,OH,44406,-80.71710354681923,41.025415193766925,100
196,1790 Metro Medical Drive ,Fayetteville,NC,28304,-78.92866055431251,35.032507770244266,99
197,WORKIT HEALTH 3300 WASHTENAW AVE SUITE 280,ANN ARBOR,MI,48101,-83.69486857388114,42.256461451608494,96.67
198,"Sunrise Health &amp; Wellness center, LLC 10089 Folsom Boulevard, Suites A &amp; C",Rancho Cordova,CA,95670,-121.31783486405287,38.583047380011095,94.76
199,Bowen Center 2621 E. Jefferson Street,Warsaw,IN,46580,-85.82095989297189,41.23605753352693,97.5
200,420 West Mc Pherson Highway ,Clyde,OH,43410,-82.98060875524796,41.31142048226266,100
201,52 Medical Group Unit 3690 ATTN CREDENTIAL OFFICE,APO,AE,9126,-74.06167999999997,40.75542000000007,77
202,12904 Robert L Madon Bypass Suite 2,Pineville,KY,40977,-83.6991275672962,36.76539971591383,91.44
203,"233 Pecan Park, Suite D ",Alexandria,LA,71303,-92.48980221920168,31.29339382112651,98.82
204,Project H.O.P.E. 519-525 West Street,Camden,NJ,8103,-75.12222416471798,39.93880710096044,96.41
205,"Experience Wellness Center, PC 77 Hospital Avenue, Suite 104",North Adams,MA,1247,-73.109190172101,42.7069097956209,96.06
206,Mid Michigan Medical Center - Mount Pleasant 4851 E Pickard Road,Mount Pleasant,MI,48858,-84.75106099999994,43.61267600000008,95.2
207,Total Healthcare 1501 Division Street,Baltimore,MD,21217,-76.6317712313643,39.30296686445507,96.94
208,"CCHCS 9260 Laguna Springs Drive, Building E",Elk Grove,CA,95758,-121.39795781178304,38.42057474815314,99.02
209,"Experience Wellness Centers, LLC 121 Lincoln Street",Worcester,MA,1605,-71.79464397569869,42.27719757346307,95.25
210,MGH West End Clinic 100 Blossom Street,Boston,MA,2114,-71.06939510957775,42.36402843257599,96.36
211,302 West Midlothain Boulevard ,Youngstown,OH,44511,-80.6641987341755,41.06095978573947,98.15
212,103 N College Avenue Suite 4,Fayettevile,AR,72701,-94.15792835604317,36.06391499567028,98.71
213,129 Edgewood Plaza Drive ,Nicholasville,KY,40437,-84.57811836366446,37.87013835174502,98.78
214,147 Green Meadow Drive Suite 2,Greenfield,IN,46140,-85.77217838995725,39.80430236542789,99.55
215,Bluestone Health Association 3997 Beckley Road,Princeton,WV,24740,-81.14085199999994,37.401125000000036,95.96
216,3033 N. Walnut ,Oklahoma City,OK,73105,-97.50769996899545,35.5002320490313,98.84
217,Ouachita Behavioral Health and Wellness 125 Don's Way,Hot Springs,AR,71913-0000,-93.07869931360646,34.46426246988777,94.69
218,820 Southeast Highway 101 Suite E2,Lincoln City,OR,97367,-124.01463316940445,44.9608898931001,100
219,Ridge Behavioral Health 3050 Rio Dosa Drive,Lexington,KY,40509,-84.44188117256486,38.005429477433296,96.04
220,162 NC Highway 33 E ,Tarboro,NC,27886,-77.52269813675593,35.87467525893583,100
221,NORTH HOUSTON FAMILY MEDICINE 25510 I-45 NORTH,Spring,TX,77386,-95.4435559806616,30.131227313602004,93.9
222,710 Franklin Street ,Michigan City,IN,46360,-86.90047928453436,41.7146060763461,100
223,Family & Childrens Services Inc. 2325 S Harvard Ave,Tulsa,OK,74114,-95.93968699999999,36.128247000000044,99.43
224,PO Box 443 ,Roslyn Heights,NY,115770443,-73.64210000896924,40.7866500182015,98
225,Sunrise House Treatment Center 37 Sunset Inn Road,Lafayette,NJ,7848,-74.67956099999998,41.08134200000006,97.37
226,204 Wall Street Suite A,Poteau,OK,74462,-94.6130605251062,35.043893501813805,98.44
227,"Genesys Integrated Group 7057 N Clio Road, Suite 1",Mount Morris,MI,48458,-83.73404822486202,43.10573214809676,99.25
228,"ARS 9400 McKnight Road, Suite 103",Pittsburgh,PA,15237-6007,-80.02589912154977,40.57662102420664,99.88
229,6065 State Highway 193 ,Georgetown,CA,95634,-120.8515576370301,38.90809683078354,100
230,Evolve Life Centers 2528 Mountain Road,Pasadena,MD,21122,-76.54479799999996,39.128573000000074,100
231,10831 Pineville Road Suite 9,Pineville,NC,281176074,-80.88381195555995,35.094518141967384,97.95
232,"3406 Davenport Avenue, Suite 1 ",Saginaw,MI,48603,-83.98850210196734,43.43796753019005,99.74
233,505 Samaritan's Ridge Court ,Elkin,NC,28621,-80.82754476034431,36.2622280168637,100
234,"ARS Treatment Centers, P.C. 9400 McKnight Road, Suite 103",Pittsburgh,PA,15237,-80.02589912154977,40.57662102420664,99.32
235,De Paul Adult Treatment Center 1312 Southwest Washington Street,Portland,OR,97205,-122.68469989424791,45.52219652827928,96.29
236,ENT & Audiology Associates 3820 Ed Drive,Raleigh,NC,27612,-78.69864599999994,35.82174100000003,100
237,1101 East Third Street ,Williamsport,PA,17701,-76.98318813786992,41.24823832476898,100
238,Family Recovery Solutions @ Skytop 1243 Skytop Mountain Road Suite 2 (rear),Port Matilda,PA,16870,-77.97385801466827,40.83474743218853,99.27
239,7478 S Campus View Dr Suite 100 ,West Jordan,UT,84084,-111.9842597898024,40.61554918094328,100
240,"Savida Health 655 Main Street, Suite 2",Bennington,VT,20874,-73.18932334575304,42.87826322153122,99.29
241,"Cascade Medical Advantage 800 E Chestnut Street, Suite 3A",Bellingham,WA,98226,-122.47325616072553,48.74385997128848,99.14
242,4 Red Oak Drive ,Williamsville,NY,14221,-78.73980596602885,42.99768396792822,100
243,New Start Clinics 6614 East Main Avenue,Spokane Valley,WA,99212,-117.3154655365811,47.65924065264834,97.17
244,2041 Martin Luther King Jr Avenue SE Suite 300,Washington,DC,20001,-76.98982870066065,38.865930116207295,99.09
245,2680 Kull Road ,Lancaster,OH,43230,-82.65109879088173,39.7499574579997,98.21
246,Northwest Integrated Health - Lakewood Clinic 9720 South Tacoma Way,Lakewood,WA,98499,-122.48369749751153,47.16859899329421,94.58
247,RHC - The Phoenix Center 1400 Cleveland Street,Greenville,SC,29301,-82.37411999999995,34.82217700000007,98.55
248,Banner Greenway Health Center 4720 East Greenway Road,Phoenix,AZ,85032,-111.97937179914646,33.626228810114064,95.67
249,UAB Beacon Recovery 530 Beacon Parkway W.,Birmingham,AL,35209,-86.8227268228414,33.47549318963466,96.67
250,102 Ginna Altman Avenue Suite C,Hampton,SC,29924,-81.11632320150557,32.857373553727506,98.34
