ZCTA,YEAR,TotalPop,NonrelatedHousehold,NonrelatedGroupDwelling,GroupQuarters,GroupQuarterPercent,NonrelatedHousePercent
00214,2014-2018,3294,0,36,444,13.48,0.0
00214,2014-2018,26151,159,202,285,1.09,0.61
00214,2014-2018,25277,9,152,514,2.03,0.04
00214,2014-2018,26868,96,165,114,0.42,0.36
00214,2014-2018,61354,489,348,331,0.54,0.8
00214,2014-2018,45596,151,96,188,0.41,0.33
00215,2014-2018,39842,229,116,738,1.85,0.57
00215,2014-2018,53976,322,329,273,0.51,0.6
00215,2014-2018,18535,182,55,65,0.35,0.98
00215,2014-2018,59793,269,429,4477,7.49,0.45
00216,2014-2018,2401,0,20,1449,60.35,0.0
00216,2014-2018,56584,313,210,508,0.9,0.55
00217,2014-2018,19367,139,68,526,2.72,0.72
00217,2014-2018,18170,32,82,119,0.65,0.18
00217,2014-2018,28116,22,253,309,1.1,0.08
00218,2014-2018,22144,20,151,101,0.46,0.09
00218,2014-2018,37207,98,69,550,1.48,0.26
00218,2014-2018,27568,236,15,1851,6.71,0.86
00218,2014-2018,15287,11,35,252,1.65,0.07
00218,2014-2018,15603,45,34,153,0.98,0.29
00219,2014-2018,17196,35,153,23,0.13,0.2
00219,2014-2018,8298,80,85,66,0.8,0.96
00219,2014-2018,1149,0,12,0,0.0,0.0
00220,2014-2018,25,0,0,0,0.0,0.0
00221,2014-2018,3196,0,0,215,6.73,0.0
00221,2014-2018,25619,0,100,12913,50.4,0.0
00230,2014-2018,62929,518,181,1356,2.15,0.82
00230,2014-2018,32497,278,138,302,0.93,0.86
00232,2014-2018,4482,60,131,5,0.11,1.34
00232,2014-2018,27397,137,619,4715,17.21,0.5
00233,2014-2018,11661,123,144,7,0.06,1.05
