COUNTYFP,BED_COUNT,POINT_IN_TIME,YEARLY_BED_COUNT
48165,,,
48179,,,
2847,317,39,317
48285,,,
4833,317,296,317
5154,231,227,159
5157,,,
5161,118,14,16
26,,,
268,,,
2188,,,
223,,,
2275,,,
319,,,
3925,169,147,169
3953,,,
3967,,,
31153,22,19,22
213,,,
493,,,
413,,,
453,,,
3181,,,
3119,111,864,961
31119,35,21,35
157,,,
1111,,,
521,,,
523,24,9,24
537,,,
2771,29,23,25
19197,,,
213,38,38,38
417,,,
3153,112,74,112
31123,,,
2141,3,1,3
39135,73,65,67
39119,95,75,95
551,26,16,26
3195,66,4,66
29173,,,
421,13,6,13
3679,38,34,12
3697,13,13,
2911,,,
39127,4,4,4
245,424,291,424
251,,,
255,16,86,16
29177,,,
28153,,,
28159,31,31,31
28161,,,
2173,1551,132,1428
2177,769,861,719
2185,,,
2917,,,
2947,12,85,12
259,,,
39163,44,32,44
2915,,,
2919,148,148,148
31137,,,
333,3,26,3
399,412,44,412
19181,35,35,35
19185,,,
19187,239,197,235
2127,,,
3865,,,
6111,1951,1736,1888
89,,,
811,247,183,247
817,,,
29125,,,
31133,,,
2175,27,8,27
2223,,,
2241,,,
2251,785,681,785
2275,,,
39171,,,
217,,,
2183,,,
2189,,,
237,67,55,67
227,,,
231,,,
29223,,,
2951,3538,3298,3297
2121,,,
3617,9,9,9
2159,426,154,416
2169,211,115,27
21137,,,
39147,36,8,36
39153,1249,1139,1234
437,,,
3437,135,111,124
3223,,,
3251,216,197,216
439,16,14,16
443,,,
39131,2,21,2
2977,688,61,529
28115,,,
28129,,,
31177,,,
2125,45,21,45
229,315,262,315
211,,,
2177,,,
2321,382,244,382
249,81,63,59
613,134,135,94
49,,,
419,32,,32
3141,274,237,274
3889,28,14,28
26131,,,
3861,,,
291,16,16,16
5179,42,36,42
469,9,9,9
4697,,,
21171,16,8,16
2675,243,2,233
2679,,,
2695,,,
26133,,,
26143,53,52,53
397,194,18,193
36121,4,4,4
37121,,,
37141,,,
3973,185,178,185
3977,3,29,3
4699,785,693,755
5415,,,
26119,,,
2113,,,
3633,52,48,29
3651,33,26,19
3155,2697,2254,2657
447,198,11,15
1347,42,46,42
2131,,,
2141,,,
3147,,,
4739,,,
5525,2372,2165,2319
39129,19,95,19
3919,16,,16
353,,,
3521,,,
3537,,,
2193,,,
2113,23,5,23
3997,5,5,5
2867,26,26,2
21173,,,
29119,,,
