ZCTA,minDisMet,time_to_nearest_methadone,count_in_range_methadone,methadone_score,minDisBup,time_to_nearest_buprenorphine,count_in_range_buprenorphine,buprenorphine_score,minDisNalV,time_to_nearest_naltrexone,count_in_range_naltrexone,naltrexone_score
89020,,128.0,0,0.0,35.96,90.0,0.0,0.0,,117.0,0,0.0
89021,45.06,61.0,0,0.0,24.49,37.0,0.0,0.0,37.28,54.0,0,0.0
89022,,,0,0.0,,,,,,,0,0.0
89025,42.61,55.0,0,0.0,30.15,39.0,0.0,0.0,37.25,55.0,0,0.0
89026,21.64,48.0,0,0.0,17.45,43.0,0.0,0.0,16.07,48.0,0,0.0
89027,34.1,49.0,0,0.0,1.65,0.0,2.0,1.0,11.4,17.0,1,0.43
89029,1.76,22.0,1,0.27,1.76,22.0,10.0,0.27,1.76,22.0,5,0.8
89030,0.31,0.0,9,2.3,0.3,0.0,285.0,1.0,0.31,0.0,42,2.57
89031,2.99,7.0,6,1.6,1.12,0.0,225.0,1.0,2.44,7.0,33,2.27
89032,0.94,0.0,9,2.13,0.94,0.0,266.0,1.0,0.94,0.0,38,2.7
89039,19.16,41.0,0,0.0,19.16,41.0,0.0,0.0,19.16,41.0,0,0.0
89040,43.03,72.0,0,0.0,26.98,49.0,0.0,0.0,39.0,66.0,0,0.0
89042,,138.0,0,0.0,13.27,31.0,0.0,0.0,,122.0,0,0.0
89043,,162.0,0,0.0,27.86,51.0,0.0,0.0,,145.0,0,0.0
89044,6.86,17.0,7,0.87,3.49,9.0,149.0,0.7,1.03,9.0,22,1.87
89045,,,0,0.0,,,,,,,0,0.0
89046,30.1,74.0,0,0.0,30.09,68.0,0.0,0.0,30.1,64.0,0,0.0
89047,,,0,0.0,49.26,171.0,0.0,0.0,48.79,171.0,0,0.0
89048,45.87,76.0,0,0.0,2.45,0.0,3.0,1.0,38.47,63.0,0,0.0
89049,,,0,0.0,,131.0,0.0,0.0,,131.0,0,0.0
89052,3.67,13.0,8,1.27,0.38,0.0,217.0,1.0,0.51,0.0,30,2.63
89054,7.92,17.0,7,0.8,3.94,12.0,219.0,0.6,4.45,17.0,26,1.23
89060,47.71,83.0,0,0.0,6.14,19.0,3.0,0.37,40.33,69.0,0,0.0
89061,41.81,73.0,0,0.0,4.37,20.0,3.0,0.33,34.03,59.0,0,0.0
89074,1.9,7.0,9,1.9,0.22,0.0,240.0,1.0,1.05,0.0,35,2.4
89081,4.35,11.0,6,1.47,1.86,5.0,225.0,0.83,1.88,5.0,33,2.03
89084,4.67,11.0,6,1.23,2.58,6.0,219.0,0.8,3.56,8.0,32,2.07
89085,6.38,16.0,4,0.8,4.56,11.0,181.0,0.63,4.23,8.0,22,1.9
89086,5.54,12.0,6,1.47,1.08,0.0,211.0,1.0,1.45,0.0,31,2.2
89101,1.91,5.0,9,2.27,0.46,0.0,285.0,1.0,0.96,0.0,42,2.67
89102,3.1,7.0,9,2.13,0.17,0.0,285.0,1.0,1.5,0.0,42,2.73
89103,4.37,10.0,9,1.83,0.14,0.0,285.0,1.0,0.33,0.0,42,3.0
89104,1.47,7.0,9,2.27,1.06,0.0,285.0,1.0,1.15,0.0,43,2.6
89106,2.48,8.0,9,2.07,0.52,0.0,285.0,1.0,1.34,0.0,42,2.5
89107,3.69,13.0,9,1.67,0.53,0.0,278.0,1.0,2.09,5.0,40,2.4
89108,2.36,9.0,9,1.77,1.2,0.0,267.0,1.0,1.21,6.0,39,2.27
89109,0.67,0.0,9,2.57,0.58,0.0,285.0,1.0,1.12,3.0,42,2.4
89110,3.54,10.0,9,1.93,2.02,8.0,267.0,0.73,1.55,0.0,39,2.53
89113,7.86,14.0,9,1.5,0.75,0.0,278.0,1.0,1.36,0.0,41,2.33
