ZCTA,totUnits,occP,vacantP,mobileP,lngTermP,rentalP,unitDens
"1938","6169","92.12","7.88","0.42","34.87","25.76",202.7552062
"1940","5211","93.86","6.14","0","36.05","15.25",494.292314
"1944","2303","89.97","10.03","0","36.89","26.16",249.5285757
"1945","8804","93.55","6.45","0","32.16","22",2007.111658
"1949","3115","95.51","4.49","0.8","32.74","10.52",231.66916
"1950","8633","91.72","8.28","0.61","31.73","22.25",1033.891259
"1951","1971","83.92","16.08","0","36.83","20.19",143.0400908
"1952","4920","76.4","23.6","7.46","31.48","20.99",320.022044
"1960","22441","96.15","3.85","2.42","40.2","34.29",1401.643213
"1966","4223","76.79","23.21","0","40.27","28.34",604.3516466
"1969","2333","93.01","6.99","0","43.34","14.24",133.409487
"1970","19365","94.01","5.99","0.19","21.43","49.68",2387.135516
"1982","2946","90.22","9.78","0.34","34.88","19.94",207.7917254
"1983","2227","96.32","3.68","0","34.61","9.28",187.0183865
"1984","1397","100","0","0.5","31.83","8.59",182.408021
"1985","1659","95.78","4.22","2.29","40.21","8.18",123.3715995
"2019","6808","94.45","5.55","0","37.17","16.95",371.1332742
"2021","9308","96.92","3.08","0.24","33.23","24.18",495.4540311
"2025","3565","87.49","12.51","0","33.12","24.78",364.2882148
"2026","10430","95.63","4.37","0.18","30.81","29.65",1017.942999
"2030","2140","94.16","5.84","0","34.31","7.84",141.7518038
"2032","1717","92.6","7.4","0","22.92","15.41",734.1048067
"2035","6739","98.78","1.22","0.24","28.95","36.11",339.4002404
"2038","11928","97.71","2.29","0","36.44","18.7",447.755879
"2043","9237","94.65","5.35","0","29.55","18.61",416.4581373
"2045","5921","82.08","17.92","0.17","35.36","30.04",2224.269404
"2047","145","45.52","54.48","0","0","51.52",606.3664032
"2048","8826","96.05","3.95","0.12","35.39","27.97",439.0191261
"2050","11350","86.16","13.84","0","31.81","20.29",390.0450613
"2052","4362","95.21","4.79","0","32.65","13",302.835688
"2053","4914","95.46","4.54","0","35.58","10.53",425.6591043
"2054","3158","95.22","4.78","0","39.6","17.46",262.6456176
"2056","3370","93.44","6.56","0","38.07","4.03",226.7449991
"2061","3841","95.65","4.35","0.62","35.51","6.91",183.3896706
"2062","12308","95.58","4.42","0.07","35.7","41.71",1188.47851
"2066","7640","89.61","10.39","0","38.05","13.66",450.8763397
"2067","6683","93.88","6.12","0","36.88","11.67",294.7147586
"2071","259","100","0","0","38.1","6.18",266.8935573
"2072","11493","93.83","6.17","0.35","39.92","29.36",714.3724703
"2081","7288","97.28","2.72","0","36.58","18.01",406.6279079
"2090","5878","93.13","6.87","0.85","38.58","14.96",539.4459978
"2093","4240","98.16","1.84","0.17","35.17","16.75",195.3340742
"2108","2212","81.83","18.17","0","18.03","54.92",16213.24549
"2109","2428","78.95","21.05","0.58","14.14","63.02",14010.60512
"2110","1677","82.59","17.41","0","17.67","32.56",9256.071365
"2111","4210","82.57","17.43","0.26","10.82","75.69",15572.01695
"2113","4774","90.76","9.24","0","12.3","78.51",47601.05638
"2114","8391","88.5","11.5","0","13.68","74.66",18696.68491
"2115","10207","90.47","9.53","0.14","13.14","87.81",14419.46607
"2116","14251","85.33","14.67","0","16.07","61.76",22601.97655
"2118","14032","92.37","7.63","0.18","12.16","65.34",12798.20375
"2119","12305","92.87","7.13","0","20.16","76.97",7702.598973
"2120","5212","94.65","5.35","0.33","10.79","92.28",8397.665912
"2121","11621","91.86","8.14","0.09","20.37","78.48",6658.417309
"2122","9405","90.76","9.24","0","19.51","58.89",4621.693525
"2124","20367","93.06","6.94","0","23.88","61.36",6799.247875
"2125","14034","88.88","11.12","0.04","21.14","65.35",6581.607599
"2126","10824","93.26","6.74","0","32.51","58.47",5205.042293
"2127","18244","93.05","6.95","0","16.67","59.31",9017.995355
"2128","17568","93.35","6.65","0.7","18.09","72.47",3621.568897
"2129","9536","94.9","5.1","0.08","14.33","53.87",7058.170615
"2130","17211","96.63","3.37","0","17.23","54.89",5162.145593
"2131","13391","94.72","5.28","0.48","29.59","44.52",5176.608975
"2132","11906","95.93","4.07","0.6","31.42","28.02",2611.30541
"2134","8588","95.54","4.46","0","6.66","87.12",6475.067857
"2135","20578","94.95","5.05","0.05","15.15","75.35",7812.204049
"2136","12434","96.15","3.85","0.23","23.42","47.75",2708.483406
"2138","15763","89.65","10.35","0","17.89","60.62",5752.062159
"2139","16320","88.32","11.68","0","14.14","64.18",10476.53865
"2140","9970","94.73","5.27","0.29","20.45","64.84",8635.33121
"2141","7545","89.4","10.6","0","15.95","66.14",11719.8225
"2142","2020","75.35","24.65","0","3.47","85.87",7267.468916
"2143","11715","95.33","4.67","0","13.59","71.02",7587.311907
"2144","11462","95.02","4.98","0","17.99","64.61",10590.29597
"2145","11276","95.54","4.46","0","20.92","63.27",8077.45996
"2148","24353","94.76","5.24","0.33","20.74","59.13",4827.011896
"2149","16791","93.72","6.28","0.12","17.15","62.13",4905.228337
"2150","13716","95.81","4.19","0","12","73.85",6203.034951
"2151","21206","94.31","5.69","0.79","23.94","52.34",3610.753277
"2152","8553","93.6","6.4","0.05","31.18","44.7",4336.315199
"2155","24030","95.6","4.4","0.19","28.77","42.79",2932.390034
"2163","638","81.03","18.97","0","0","100",6436.461936
"2169","26820","93.5","6.5","0","22.15","58.52",2989.726165
"2170","8053","94.64","5.36","0","28.26","46.49",3866.300797
"2171","8392","93.97","6.03","0.18","30.06","43.03",3421.713202
"2176","11691","96.28","3.72","0","38.1","34.71",2496.786221
"2180","9445","97.84","2.16","0.08","37.95","34.09",1570.246608
"2184","14743","95.46","4.54","0.04","35.25","26.22",1071.263618
"2186","9335","95.14","4.86","0.12","34.25","16.01",717.2008389
"2188","6805","93.28","6.72","1.54","33.77","41.48",1829.427154
"2189","6382","97.24","2.76","0","35.7","35.56",1676.632336
"2190","7428","96.26","3.74","0","35.55","31.4",1044.723809
"2191","3748","95.52","4.48","0","40.29","19.3",1852.009355
"2199","1052","72.72","27.28","0","3.05","97.12",18382.05431
"2203","25","100","0","0","0","52",787.990897
"2210","2588","75.15","24.85","0","6.04","65.4",2693.247755
"2215","8659","87.23","12.77","0","5.29","89.28",11318.74288
"2301","22832","93.73","6.27","0.24","20.01","54.32",1834.888894
"2302","11306","95.14","4.86","0.15","27.46","28.49",1272.405407
"2322","1799","87.94","12.06","0.44","35.94","26.8",419.1885264
"2324","8519","94.49","5.51","2.62","32.53","29.13",312.6655095
"2330","4709","95.37","4.63","22.93","42.53","9.04",126.2211477
"2332","6022","92.83","7.17","0","38.53","10.61",253.9489172
"2333","5033","97.5","2.5","0.3","40.18","18.79",292.0832736
"2338","2881","97.12","2.88","12.46","44.93","11.29",180.390424
"2339","4978","98.07","1.93","0.28","35.74","12.31",320.3869825
"2341","3903","97.51","2.49","0.54","39.88","8.17",259.8467756
"2343","4309","94.8","5.2","1.9","40.95","19.51",614.6980014
"2346","9787","93.96","6.04","5.86","30.09","19.95",142.1745479
"2347","4440","89.8","10.2","1.04","43.68","13.27",149.0454396
"2351","6762","94.84","5.16","0","33.2","29.97",699.229041
"2356","4538","97.44","2.56","0.44","36.87","20.04",330.9883647
"2357","22","100","0","0","0","54.55",45.72296122
"2359","6730","96.42","3.58","0.55","43.96","13.61",309.0640501
"2360","27418","84.25","15.75","2.68","31.68","20.96",287.1560578
"2364","5188","93.66","6.34","4.78","34.9","17.84",278.3369269
"2366","0",,,,,,0
"2367","1067","95.5","4.5","1.03","44.35","13.74",72.67993427
"2368","12787","95.99","4.01","0","30.16","31.39",1269.358599
"2370","7376","93.51","6.49","7.13","43.67","25.52",715.4950699
"2375","3940","94.9","5.1","2.28","30.31","21.24",270.4567039
"2379","2712","92.74","7.26","6.9","32.64","14.39",176.9578956
"2382","5536","97.16","2.84","0.33","36.05","29.91",798.16673
"2420","5125","97.39","2.61","0","31.04","11.2",778.0975654
"2421","7024","96.33","3.67","0","28.57","22.91",713.2423019
"2445","8919","95.63","4.37","0","20.1","42.4",3425.443817
"2446","13967","94.62","5.38","0.07","16.44","57.69",10851.94337
"2451","8145","92.08","7.92","0","29.06","42.87",1474.046625
"2452","5137","96.15","3.85","1.23","24.78","37.72",1387.948799
"2453","11914","93.5","6.5","0.03","19.2","59.43",3401.667053
"2457","33","0","100","0",,,206.8299624
"2458","5305","93.33","6.67","0","29.67","38.98",2656.938318
"2459","6935","95.24","4.76","0","33.63","19.26",1386.07192
"2460","3910","93.71","6.29","0","27.63","39",2909.322305
"2461","2846","95.15","4.85","0","33.02","23.97",1955.764115
"2462","610","90.49","9.51","4.26","39.77","38.41",1155.463568
"2464","1231","96.99","3.01","0","23.87","32.5",2182.547913
"2465","4329","97.64","2.36","0","36.39","20.61",1930.648853
"2466","3139","94.14","5.86","0","30.46","44.3",1754.072064
"2467","6708","89.51","10.49","0","28.24","31.7",1376.562127
"2468","1984","99.5","0.5","0","41.87","7.19",1339.141729
"2472","16540","94.36","5.64","0","26.68","48.34",4097.28912
"2474","12510","92.41","7.59","0.26","26.78","43.44",4101.093189
"2476","7415","97.77","2.23","0","32.28","36.52",3542.86877
"2478","10266","95.18","4.82","0","26.84","36.15",2210.774626
"2481","5069","94.06","5.94","0","30.13","16",898.5687261
"2482","3981","97.61","2.39","0.35","30.65","20.3",945.0765605
"2492","7342","96.61","3.39","0","37.97","10.29",769.5707493
"2493","4012","94.72","5.28","0.22","32.49","13.47",238.5231393
"2494","3880","94.64","5.36","0","22.85","29.6",1402.623911
"2532","7348","77.67","22.33","0","34.16","21.62",514.8806557
