COUNTYFP,year,unempP,povP,pciE
17105,2018,5.4,13.8,28236.0
17107,2018,5.6,8.5,27187.0
17109,2018,7.6,22.0,23299.0
17111,2018,4.4,7.1,38047.0
17113,2018,3.5,14.6,33665.0
17115,2018,8.2,16.2,28925.0
17117,2018,7.1,13.4,28050.0
17119,2018,6.8,13.7,30802.0
17121,2018,9.5,17.9,24727.0
17123,2018,6.1,11.2,29827.0
17125,2018,7.9,15.4,27111.0
17127,2018,5.6,18.0,23768.0
17129,2018,4.9,9.6,34495.0
17131,2018,5.5,11.4,28995.0
17133,2018,3.1,5.0,39988.0
17135,2018,4.9,15.9,24816.0
17137,2018,5.9,14.6,26295.0
17139,2018,3.2,9.2,28391.0
17141,2018,5.9,9.9,30595.0
17143,2018,7.9,16.3,30753.0
17145,2018,6.8,16.3,24511.0
17147,2018,4.2,5.9,33967.0
17149,2018,5.4,13.9,24162.0
17151,2018,15.6,13.2,22343.0
17153,2018,9.3,18.9,20317.0
17155,2018,3.6,8.8,34144.0
17157,2018,5.1,12.9,25340.0
17159,2018,5.8,15.0,26038.0
17161,2018,6.5,14.8,28595.0
17163,2018,7.1,16.4,29541.0
17165,2018,9.8,22.2,23690.0
17167,2018,6.3,15.2,34548.0
17169,2018,5.5,21.4,23068.0
17171,2018,6.7,12.9,27218.0
17173,2018,4.6,11.2,25320.0
17175,2018,3.5,16.1,30225.0
17177,2018,7.1,14.4,27453.0
17179,2018,4.3,8.6,33077.0
17181,2018,6.6,18.1,25416.0
17183,2018,7.5,19.6,24272.0
17185,2018,5.9,11.8,26850.0
17187,2018,6.7,12.4,26082.0
17189,2018,4.2,8.2,32394.0
17191,2018,3.5,14.1,26362.0
17193,2018,7.9,13.1,25859.0
17195,2018,5.3,10.6,29167.0
17197,2018,5.2,7.0,35259.0
17199,2018,5.9,15.0,26756.0
17201,2018,9.1,15.6,28250.0
17203,2018,4.1,7.2,35104.0
18001,2018,3.6,16.8,22514.0
18003,2018,5.6,14.3,28239.0
18005,2018,4.8,13.0,30515.0
18007,2018,4.2,16.1,23322.0
18009,2018,6.4,12.6,24663.0
18011,2018,2.5,5.4,44712.0
18013,2018,4.7,9.4,33617.0
18015,2018,4.2,10.2,28430.0
18017,2018,6.0,14.6,23918.0
18019,2018,5.2,10.0,28525.0
18021,2018,5.3,14.0,25290.0
18023,2018,4.8,12.5,24276.0
18025,2018,3.9,15.5,21021.0
18027,2018,4.1,12.7,22548.0
18029,2018,4.9,10.2,29891.0
18031,2018,4.4,12.7,26515.0
18033,2018,4.6,10.8,27036.0
18035,2018,6.7,21.5,24234.0
18037,2018,1.6,11.0,28932.0
18039,2018,4.7,13.3,25075.0
18041,2018,5.0,18.5,23627.0
18043,2018,4.5,9.9,32299.0
18045,2018,5.8,11.8,26721.0
18047,2018,3.9,8.4,27557.0
18049,2018,4.6,14.0,25106.0
18051,2018,3.2,10.1,27137.0
18053,2018,7.3,19.2,21739.0
18055,2018,5.6,14.0,24309.0
18057,2018,2.9,4.7,46597.0
18059,2018,2.8,7.1,32730.0
18061,2018,6.2,10.5,27211.0
18063,2018,3.9,5.3,34689.0
18065,2018,6.1,15.4,23851.0
