COUNTYFP,totUnits,occP,vacantP,mobileP,lngTermP,rentalP,unitDens
13245,88145,81.87,18.13,7.82,25.17,46.73,271.7880209
13247,33538,91,9,2.71,19.63,31.9,258.3584471
13249,2191,85.67,14.33,35.46,31.94,30.26,13.12712901
13251,6752,77.86,22.14,33.52,37.34,28.13,10.45575959
13253,4834,68.78,31.22,28.61,25.04,31.55,20.35070223
13255,27269,88.51,11.49,7.33,23.45,39.83,139.1397086
13257,12625,74.99,25.01,23.02,32.96,30.22,70.47191509
13259,2349,77.74,22.26,29.25,38.47,29.3,5.120476671
13261,13899,84.6,15.4,16.43,30.2,44.2,28.78421859
13263,3413,81.04,18.96,33.72,45.06,21.37,8.720523295
13265,1018,60.12,39.88,42.34,39.3,30.88,5.231066753
13267,9984,82.5,17.5,36.68,27.58,34.1,20.76461591
13269,4589,74.9,25.1,37.61,41.62,28.72,12.18261635
13271,7263,67.89,32.11,31.1,41.03,38.37,16.6085287
13273,4173,77.81,22.19,15.48,35.22,43.3,12.42935949
13275,20615,84.17,15.83,17.78,25.33,36.82,37.85299506
13277,16655,90.41,9.59,24.23,23.85,41.01,63.83662959
13279,12182,85.4,14.6,21.16,25.52,41.22,33.46643091
13281,8158,58.56,41.44,12.66,26.07,19.2,49.00788878
13283,3376,78.23,21.77,38.18,32.82,29.08,16.92805909
13285,28440,87.35,12.65,7.13,24.11,42.71,68.69472553
13287,3914,77.24,22.76,19.52,25.66,32.48,13.71341458
13289,4240,71.49,28.51,34.17,51.1,20.65,11.80211521
13291,14523,62.45,37.55,11.77,22.94,22.06,45.09073378
13293,12153,83.96,16.04,18.7,31.08,34.19,37.57127474
13295,30288,84.88,15.12,12.6,30.08,28.07,67.85126631
13297,33407,93.19,6.81,7.94,21.05,26.7,102.228343
13299,16623,83.63,16.37,19.64,30.74,34.99,18.4870794
13301,2980,78.26,21.74,35.67,37.31,32.33,10.47979877
13303,9247,79.58,20.42,32.18,34.44,33.32,13.62838401
13305,12241,84.58,15.42,30.88,23.8,36.12,19.0689241
13307,1426,77.21,22.79,43.76,38.15,20.89,6.81137769
13309,2619,73.96,26.04,31.77,43.74,38.56,8.863298731
13311,16194,71.56,28.44,16.35,25.57,24.81,67.26696641
13313,39913,90.3,9.7,14.42,23.03,36.91,137.4243469
13315,3507,74.31,25.69,28.46,36.44,24.02,9.282467461
13317,5159,75.19,24.81,19.87,41.09,34.31,10.98831786
13319,4477,72.3,27.7,32.88,41.88,24.68,9.966334258
13321,9329,86.16,13.84,32.13,35.56,33.58,16.34631888
15001,87101,78.54,21.46,0.32,29.23,33.1,21.62156602
15003,348497,89.39,10.61,0.13,32.45,44.24,580.2855621
15005,92,51.09,48.91,0,19.05,95.74,7.672195436
15007,30793,73.15,26.85,0.07,39.45,36.91,49.675647
15009,72570,74.79,25.21,0.43,30.94,39.78,62.47822597
16001,176693,95.5,4.5,4.01,14.64,31.63,167.9586181
16003,2683,62.43,37.57,11.18,29.66,19.4,1.968742538
16005,34036,90.61,9.39,8.27,21.89,31.77,30.59470421
16007,4075,57.67,42.33,5.64,31.25,23.28,4.176389255
16009,4703,71.15,28.85,19.18,28.43,26.87,6.053329784
16011,16614,88.91,11.09,13.12,29.67,24.36,7.934935385
16013,15361,53.32,46.68,5.89,19.36,30.29,5.823577153
16015,5484,56.71,43.29,13.17,24.63,16.14,2.887004274
16017,25050,70.2,29.8,12.73,24.75,25.63,14.45300433
16019,42243,92.32,7.68,5.3,18.15,30.02,22.63858396
16021,5416,85.03,14.97,10.95,19.09,24.95,4.269015963
16023,1390,75.54,24.46,12.88,30.48,15.81,0.621513364
16025,777,45.95,54.05,13.64,23.36,24.93,0.72330926
16027,74650,94.91,5.09,7.79,14.25,31.84,127.163114
16029,3286,79.67,20.33,9.1,26.26,20.28,1.862615796
16031,8685,91.01,8.99,11.8,25.89,30.31,3.385177251
16033,555,54.95,45.05,25.05,19.03,37.7,0.314779874
16035,4595,80.67,19.33,18.85,35,23.77,1.869937024
16037,3183,55.33,44.67,15.39,30.41,25.21,0.64666811
16039,12441,82.67,17.33,10.84,16.28,41.93,4.045768637
16041,4768,90.06,9.94,3.78,21.98,19.19,7.191381299
16043,8896,48.44,51.56,11.6,31.01,18.71,4.772657622
16045,7281,90.41,9.59,11.73,21.41,26.54,13.00719728
16047,6176,87.74,12.26,20.56,23.6,31.74,8.468188668
16049,8761,73.8,26.2,16.12,29.47,22.05,1.033447614
16051,9232,93.66,6.34,12.26,21.8,20.33,8.441267449
16053,8450,92.64,7.36,11.94,18.09,36.09,14.14300007
16055,69325,87.27,12.73,8.36,16.54,29.53,56.00781476
16057,16790,92.5,7.5,10.72,20.17,46.99,15.60608822
16059,4846,73.24,26.76,15.08,22.82,24.57,1.061864225
16061,1917,85.13,14.87,17.94,30.46,28.49,4.003598111
16063,1997,84.48,15.52,24.64,21.05,30.88,1.662285353
16065,13787,77.07,22.93,4.45,12.25,53.65,29.37998894
16067,8085,90.03,9.97,9.47,27.41,28.31,10.68042346
16069,17739,91.9,8.1,9.32,24.15,29.47,20.91082669
16071,1988,79.73,20.27,6.34,32.39,19.31,1.658123526
16073,4877,87.14,12.86,21.1,22.21,29.41,0.63600568
16075,9349,93.79,6.21,13.7,17.53,27.37,22.97670307
16077,3006,85.86,14.14,22.89,24.4,31.07,2.141300996
16079,7119,77.82,22.18,11.64,29.87,29.91,2.699236388
16081,5707,65.46,34.54,12.39,17.09,26.04,12.70795488
16083,32855,93.43,6.57,7.62,16.91,31.42,17.09680447
16085,12228,28.3,71.7,10.02,23.13,21.27,3.336335208
16087,4632,86.74,13.26,8.96,27.5,29.72,3.188225702
17001,30202,90.39,9.61,4.08,27.89,28.33,35.31831751
17003,3985,58.29,41.71,10.69,37.21,28.71,16.92000269
17005,7228,86.03,13.97,11.73,28.89,22.52,19.00418961
17007,20065,93.35,6.65,4.9,24.11,20.2,71.46643939
17009,2456,84.98,15.02,12.62,35.18,24.1,8.034614239
17011,15705,87.9,12.1,2.58,34.62,23.66,18.0708388
