ZCTA,pop,minDist_SUT
60203,4188,0.79
62085,192,3.41
61322,1454,8.37
60165,4923,0.35
60305,11064,0.97
06877,25092,5.54
90822,139,0.06
33785,5515,3.15
32336,1373,19.11
31320,8258,13.5
19945,6630,6.53
32666,7147,16.6
50478,773,26.93
83312,154,38.77
41005,24458,6.3
42164,16463,1.65
60053,23256,2.14
70653,3430,20.79
04945,1022,63.36
04742,3333,7.65
60640,69715,0.33
05039,1129,10.03
05674,1613,16.17
22938,1349,8.12
24256,3556,11.11
22546,16242,4.24
24382,13420,1.15
23002,9937,13.77
23943,84,34.98
24314,1522,14.64
24090,4934,14.42
23923,2499,30.29
24526,1366,6.37
22027,2124,0.99
78408,11787,0.8
99402,1578,15.83
98223,42880,10.28
99020,0,6.56
98158,0,1.6
26039,901,8.65
46766,865,6.04
66959,187,25.51
02666,493,22.71
41503,533,0.79
04412,9123,0.69
59872,2023,5.51
02672,281,1.43
59829,2308,31.87
08406,10232,1.78
17043,5706,0.25
17835,373,9.24
15413,593,7.89
15359,170,5.67
17570,206,3.82
15637,1530,3.28
29078,17393,6.96
29527,25916,6.34
29902,15826,4.23
29665,140,4.15
29450,3548,12.98
37090,15099,2.15
37055,27011,2.8
38340,12868,4.88
37160,33903,3.32
37351,375,3.73
38329,3643,2.84
37050,1325,5.21
38068,10741,1.69
75287,54882,2.39
38126,6407,1.22
79108,16083,10.35
77086,29178,4.6
79227,1431,27.51
75670,18056,6.76
75654,12450,26.07
75568,2459,34.56
75446,3398,15.72
76457,3764,21.45
77342,0,27.76
79546,1700,47.31
75845,3137,25.34
76523,0,20.1
78013,6143,7.86
79344,92,33.2
76689,3359,19.46
79369,135,27.83
84042,10809,0.6
84317,2083,13.09
84725,1699,29.05
84714,344,36.71
40011,2617,9.2
41171,5199,1.0
42754,16309,1.4
40360,6875,0.71
40448,49,6.96
42743,9145,2.91
71018,1363,16.61
71115,15659,16.71
70836,0,1.48
70058,38334,2.05
70748,7114,6.46
71404,734,19.23
04940,0,3.83
04427,2830,12.51
04763,756,12.91
04969,1270,7.34
04932,1192,14.0
04928,2032,5.81
21628,531,7.76
01022,2499,3.31
02111,7926,0.08
02763,1771,1.89
48125,20399,3.53
48070,6340,1.27
50473,408,19.99
48362,16056,1.27
59450,503,26.51
31207,1107,1.39
62695,216,6.45
66622,100,0.04
40506,2544,0.45
50142,933,6.73
93614,11676,9.61
19710,0,2.25
20390,359,0.32
20052,751,0.21
98267,346,13.83
13210,28234,1.23
12997,1199,14.85
76629,1627,38.87
15777,96,7.12
77460,77,9.23
97041,2825,18.46
16161,680,1.42
17974,244,2.06
86406,22995,11.74
36401,8109,25.08
72958,7089,0.73
35973,2856,11.53
94118,41468,0.82
60636,32203,0.85
60457,14018,0.76
62537,76,6.68
60645,47732,0.88
61419,114,10.03
61426,109,13.46
60604,782,0.19
61606,7870,0.75
46322,22743,0.57
47567,6117,14.96
47424,8842,3.14
47584,140,14.48
46063,502,6.28
01543,8586,7.16
07620,1521,2.09
24931,1348,11.03
24747,3050,4.97
25276,7814,0.96
25855,168,7.94
25156,171,16.0
25871,713,0.98
98562,0,7.83
25434,2696,15.34
24869,487,16.98
25913,248,15.65
82935,13002,21.41
07762,8232,1.13
82513,1585,51.8
82844,18,11.85
99119,1088,24.61
