"ZCTA","minDisHosp","timeDrive","countDrive"
4740,10.44,16.26,1
4742,11.21,17.35,3
4743,7.39,0,1
4745,13.96,26.6,1
4750,7.62,0,2
4757,12.1,13.22,1
4758,16.04,25.96,1
4760,22.24,24.98,1
4761,8.97,19.72,1
4763,18.75,29.94,1
4766,15.97,22.25,1
4769,1.4,0,2
4772,19.67,29.84,1
4779,23.65,28.24,1
4781,12.38,10.65,1
4783,20.18,28.67,1
4786,14.74,20.7,2
4787,12.52,15.31,1
4841,3.96,11.91,1
4843,8.23,10.16,1
4847,12.62,20.62,1
4849,9.87,24.52,2
4854,7.32,17.67,1
4856,4.09,0,1
4858,10.3,21.88,1
4859,15.38,27.54,1
4861,7.95,18.43,2
4862,17.52,23.14,1
4864,11.17,20.63,2
4901,6.41,0,6
4910,15.42,21.36,1
4911,16.88,27.67,1
4912,22.08,26.38,1
4915,6.18,0,1
4917,12.85,19.78,4
4918,14.4,21.83,4
4921,18.15,25.36,1
4922,10.02,25.41,1
4924,11.48,16.47,2
4926,11.59,14.48,5
4927,14.99,22.31,2
4928,17.46,27.2,1
4929,4.97,11.38,1
4930,16.24,24.76,1
4933,10.16,18.08,1
4937,9.17,12.1,6
4938,5.19,0,1
4940,5.51,8.23,1
4943,13.57,20.85,1
4944,8.46,19.12,2
4950,9.61,20.04,1
4952,10.3,16.04,1
4953,11.74,17,1
4955,10.85,13.89,2
4956,18.01,21.8,1
4957,10.76,15.23,2
4962,5.66,8.85,5
4963,10.86,15.32,5
4965,5.45,13.43,2
4967,4.99,0,1
4969,10.29,20.46,1
4971,13.93,28.56,1
4973,14.61,23.21,1
4974,8.66,19.82,1
4975,9.56,13.26,7
4976,4.92,0,1
4978,12.86,27.91,2
4981,14.88,22.83,1
4984,10,15.79,1
4989,10.29,21.04,5
4992,3.54,5.9,1
5001,3.52,0,4
5032,10.6,20.86,1
5037,6.67,21.84,2
5041,9.23,19.24,1
5042,10.34,28.65,1
5043,13.41,23.28,3
5048,8.48,16.02,3
5050,13.05,17.85,2
5052,4.82,11.72,5
5053,12.13,23.46,2
5055,7.95,15.87,4
5059,5.85,14.93,4
5060,4.42,0,1
5061,5.67,13.13,1
5065,14.17,28.03,1
5068,14.64,24.76,3
5069,9.48,25.74,1
