origin,count within 60,count within 30,minutes
7417,2,2,0.0
7419,2,2,0.0
7420,1,1,0.0
7423,12,1,0.0
7424,5,1,0.0
7430,3,1,0.0
7432,18,1,0.0
7440,1,0,43.11
7442,1,0,46.55
7446,3,2,0.0
7450,15,10,0.0
7452,28,3,0.0
7457,1,1,0.0
7458,1,1,0.0
7463,12,0,31.09
7465,1,0,56.5
7470,16,16,0.0
7481,4,3,0.0
7501,38,28,0.0
7502,31,4,28.45
7503,59,15,0.0
7504,48,15,0.0
7505,30,9,0.0
7506,8,4,0.0
7508,14,0,46.76
7512,11,1,0.0
7513,39,29,14.22
7514,47,10,0.0
7522,34,9,18.63
7524,45,1,16.92
7601,30,20,0.0
7603,29,0,30.61
7604,24,2,0.0
7605,23,9,26.06
7606,21,0,32.21
7607,21,20,0.0
7608,23,1,22.9
7621,19,0,38.39
7624,1,0,52.5
7626,2,2,29.74
7627,2,0,46.81
7628,4,0,51.06
7630,3,0,32.26
7631,23,9,0.0
7632,20,4,0.0
7640,1,0,35.82
7641,2,0,55.53
7642,1,0,39.4
7643,1,1,0.0
7644,27,1,26.88
7645,3,0,46.26
7646,2,0,37.51
7647,6,2,23.17
7648,2,1,0.0
7649,27,2,0.0
7650,12,2,0.0
7652,27,25,0.0
7656,3,0,58.6
7657,13,3,23.67
7660,28,1,0.0
7661,28,0,42.12
7662,21,1,24.1
7663,15,1,0.0
7666,37,8,0.0
7670,11,2,0.0
7675,1,1,0.0
7701,11,8,0.0
7702,24,2,0.0
7703,17,1,0.0
7704,10,1,0.0
7711,13,0,37.68
7712,13,12,0.0
7718,2,0,45.6
7719,5,5,0.0
7721,11,0,43.18
7723,13,0,40.71
7724,16,13,0.0
7726,11,11,0.0
7728,14,14,0.0
7730,10,4,0.0
7731,3,3,0.0
7733,8,4,0.0
7734,2,2,0.0
7735,6,2,0.0
7738,1,1,0.0
7739,13,0,37.26
7740,6,5,0.0
7746,2,2,0.0
7747,9,9,0.0
7748,2,2,0.0
7750,6,0,57.17
7751,1,1,0.0
7753,24,24,0.0
7755,13,1,0.0
7756,12,0,54.76
7757,7,1,0.0
7758,4,0,40.09
7760,2,1,0.0
7762,7,1,26.45
7764,8,0,33.84
7801,2,2,0.0
7803,2,0,52.97
7821,1,1,0.0
7823,4,4,0.0
7825,1,1,0.0
7832,1,1,0.0
7834,2,2,0.0
7840,1,1,0.0
7847,2,0,51.95
7848,7,7,0.0
7852,2,0,57.77
7857,1,1,0.0
7860,1,1,0.0
7869,1,1,0.0
7871,3,3,0.0
7874,1,0,38.13
7876,2,2,0.0
7878,2,0,37.22
7882,1,1,0.0
7885,2,0,59.71
7901,14,9,0.0
7920,3,1,0.0
7924,1,1,0.0
7927,2,2,0.0
7928,11,1,0.0
7930,1,1,0.0
7931,1,1,0.0
7932,3,2,0.0
7933,1,0,36.83
7934,1,0,41.68
7935,1,0,50.52
7939,3,2,0.0
7940,4,1,0.0
7946,3,0,36.13
7950,4,4,0.0
7960,14,14,0.0
7961,1,0,37.3
7974,10,0,54.08
7977,1,1,24.65
7980,1,1,0.0
7981,2,0,40.88
8002,42,20,0.0
8003,12,12,0.0
8004,1,1,0.0
8005,1,1,0.0
8007,10,4,0.0
8009,12,12,0.0
